"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA 2.52133233725716e-06 3.79744889093517e-06 7.8542792616271e-05 5.30295165363664e-05
"1925" NA NA 2.49774449849588e-06 3.80292599673635e-06 7.94321666106751e-05 5.32767366857182e-05
"1926" NA NA 2.48310088559372e-06 3.80925956140532e-06 8.02601695850147e-05 5.35047938294453e-05
"1927" NA NA 2.47677561707804e-06 3.81639358537621e-06 8.10272618357271e-05 5.37136602158872e-05
"1928" NA NA 2.47814281147622e-06 3.82427206908312e-06 8.17339036592495e-05 5.39033080933832e-05
"1929" NA NA 2.48657658731565e-06 3.83283901296017e-06 8.23805553520191e-05 5.40737097102725e-05
"1930" NA NA 2.5014510631237e-06 3.84203841744145e-06 8.29676772104733e-05 5.42248373148945e-05
"1931" NA NA 2.52214035742774e-06 3.85181428296108e-06 8.34957295310491e-05 5.43566631555886e-05
"1932" NA NA 2.54801858875515e-06 3.86211060995317e-06 8.3965172610184e-05 5.4469159480694e-05
"1933" 0.00402 0.00466 2.57845987563330e-06 3.87287139885182e-06 8.43764667443151e-05 5.45622985385501e-05
"1934" 0.00453 0.00514 2.61283833658957e-06 3.88404065009116e-06 8.47300722298797e-05 5.46360525774962e-05
"1935" 0.00378 0.00454 2.65052809015135e-06 3.89556236410529e-06 8.50264493633151e-05 5.46903938458717e-05
"1936" 0.00388 0.00449 2.69090325484599e-06 3.90738054132831e-06 8.52660584410584e-05 5.47252945920157e-05
"1937" 0.00371 0.00427 2.73333794920089e-06 3.91943918219434e-06 8.5449359759547e-05 5.47407270642678e-05
"1938" 0.00332 0.00379 2.77720629174341e-06 3.93168228713749e-06 8.5576813615218e-05 5.4736663510967e-05
"1939" 0.00263 0.00315 2.82188240100093e-06 3.94405385659186e-06 8.56488803045088e-05 5.4713076180453e-05
"1940" 0.00248 0.00293 2.86674039550083e-06 3.95649789099158e-06 8.56660201238566e-05 5.46699373210649e-05
"1941" 0.00232 0.00281 2.91115439377049e-06 3.96895839077073e-06 8.56286933696986e-05 5.4607219181142e-05
"1942" 0.00198 0.0024 2.95449851433727e-06 3.98137935636345e-06 8.5537360338472e-05 5.45248940090237e-05
"1943" 0.00214 0.00262 2.99614687572856e-06 3.99370478820382e-06 8.53924813266143e-05 5.44229340530493e-05
"1944" 0.00198 0.00234 3.03547359647174e-06 4.00587868672598e-06 8.51945166305625e-05 5.43013115615582e-05
"1945" 0.00177 0.00208 3.07185279509417e-06 4.01784505236401e-06 8.49439265467538e-05 5.41599987828896e-05
"1946" 0.00154 0.00188 3.10465859012324e-06 4.02954788555205e-06 8.46411713716257e-05 5.39989679653828e-05
"1947" 0.00141 0.00179 3.13326510008631e-06 4.04093118672418e-06 8.42867114016153e-05 5.38181913573773e-05
"1948" 0.00132 0.00157 3.15704644351077e-06 4.05193895631452e-06 8.38810069331598e-05 5.36176412072123e-05
"1949" 0.00131 0.00165 3.175376738924e-06 4.06251519475719e-06 8.34245182626966e-05 5.33972897632272e-05
"1950" 0.00116 0.00141 3.18763010485336e-06 4.07260390248629e-06 8.29177056866628e-05 5.31571092737612e-05
"1951" 0.00123 0.00151 3.19318065982624e-06 4.08214907993594e-06 8.23610295014958e-05 5.28970719871537e-05
"1952" 0.00126 0.00153 3.19140252237001e-06 4.09109472754023e-06 8.17549500036327e-05 5.2617150151744e-05
"1953" 0.00112 0.00138 3.18166981101205e-06 4.09938484573329e-06 8.10999274895108e-05 5.23173160158715e-05
"1954" 0.00108 0.00126 3.16335664427973e-06 4.10696343494922e-06 8.03964222555674e-05 5.19975418278754e-05
"1955" 0.00097 0.00121 3.13583714070043e-06 4.11377449562213e-06 7.96448945982396e-05 5.16577998360951e-05
"1956" 0.00096 0.00117 3.09848541880152e-06 4.11976202818612e-06 7.88211513429365e-05 5.12659834975926e-05
"1957" 0.00097 0.00119 3.05067559711039e-06 4.12487003307532e-06 7.79036476282124e-05 5.07981759672325e-05
"1958" 0.001 0.00121 2.9917817941544e-06 4.12904251072382e-06 7.68968162202228e-05 5.02666340400583e-05
"1959" 0.00093 0.00117 2.92117812846093e-06 4.13222346156574e-06 7.5805089885123e-05 4.96836145111132e-05
"1960" 0.00094 0.00118 2.83823871855737e-06 4.13435688603520e-06 7.46329013890687e-05 4.90613741754405e-05
"1961" 0.00092 0.0011 2.74233768297108e-06 4.13538678456629e-06 7.3384683498215e-05 4.84121698280837e-05
"1962" 0.00092 0.00108 2.64781090558007e-06 4.13588910354606e-06 7.20648689787175e-05 4.7748258264086e-05
"1963" 0.00091 0.00113 2.56936534007935e-06 4.13641656409653e-06 7.06778905967316e-05 4.70818962784908e-05
"1964" 0.00086 0.00112 2.50693170972180e-06 4.1368783287543e-06 6.92281811184127e-05 4.64253406663413e-05
"1965" 9e-04 0.00106 2.46044073776033e-06 4.13718356005595e-06 6.77201733099162e-05 4.57908482226810e-05
"1966" 0.00087 0.00106 2.42982314744783e-06 4.13724142053805e-06 6.61582999373975e-05 4.51906757425532e-05
"1967" 0.00084 0.00102 2.41500966203718e-06 4.13696107273718e-06 6.43513606784104e-05 4.4548230401402e-05
"1968" 0.00082 0.00102 2.41593100478128e-06 4.13625167918995e-06 6.21644289817412e-05 4.38015929594009e-05
"1969" 8e-04 0.00099 2.43251789893303e-06 4.13502240243292e-06 5.96863482703948e-05 4.29850305886881e-05
"1970" 0.00075 0.00094 2.46470106774531e-06 4.13318240500269e-06 5.70059619673757e-05 4.21328104614014e-05
"1971" 0.00076 9e-04 2.51241123447102e-06 4.13064084943583e-06 5.42121134956887e-05 4.12791997496787e-05
"1972" 0.00074 0.00094 2.57557912236305e-06 4.12730689826894e-06 5.13936462783384e-05 4.0458465625658e-05
"1973" 0.00075 0.00092 2.65413545467429e-06 4.12308971403859e-06 4.86394037383297e-05 3.97048752614772e-05
"1974" 0.00064 0.00084 2.74801095465763e-06 4.11789845928135e-06 4.60382292986671e-05 3.90526958292741e-05
"1975" 0.00066 8e-04 2.85713634556597e-06 4.11164229653384e-06 4.37921391949301e-05 3.87473251725615e-05
"1976" 0.00063 0.00079 2.9814423506522e-06 4.10423038833261e-06 4.19894801753637e-05 3.88997526259565e-05
"1977" 0.00063 0.00081 3.12085969316921e-06 4.09557189721427e-06 4.05485914319702e-05 3.9342632598254e-05
"1978" 0.00059 0.00081 3.2753190963699e-06 4.08557598571538e-06 3.93878121567521e-05 3.99086194982491e-05
"1979" 0.00056 0.00073 3.44577757235598e-06 4.07949751743039e-06 3.8425481541712e-05 4.04303677347365e-05
"1980" 0.00057 0.00074 3.63856766812077e-06 4.09194441857475e-06 3.79435146522921e-05 4.14616039966099e-05
"1981" 0.00055 0.00071 3.86168340925464e-06 4.13685544561656e-06 3.70900828188554e-05 4.13663103576512e-05
"1982" 0.00055 0.00065 4.11198417244851e-06 4.08165818857151e-06 3.62438239077417e-05 4.08621142619473e-05
"1983" 5e-04 0.00066 4.30591069833935e-06 4.08162172187544e-06 3.54390403521676e-05 4.00289000544763e-05
"1984" 0.00048 0.00062 4.46135765718907e-06 4.1128651264829e-06 3.47100345853498e-05 3.89465520802162e-05
"1985" 0.00048 0.00061 4.73608886157108e-06 4.34647370284431e-06 3.4091109040505e-05 3.76949546841452e-05
"1986" 0.00048 0.00061 5.15324688346859e-06 4.86467193034252e-06 3.361656615085e-05 3.63539922112414e-05
"1987" 0.00047 6e-04 5.68341241685073e-06 5.53880446791608e-06 3.33207083496013e-05 3.50035490064828e-05
"1988" 0.00045 6e-04 6.45870083085785e-06 6.46775805992982e-06 3.32378380699758e-05 3.37235094148477e-05
"1989" 0.00043 0.00055 7.28940947106898e-06 7.46494269550952e-06 3.34022577451901e-05 3.25937577813139e-05
"1990" 0.00039 0.00054 8.1024626850667e-06 8.48284838044997e-06 3.38482698084609e-05 3.16941784508598e-05
