"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA 0.00497133705279749 0.00735101240774586 NA NA
"1925" NA NA 0.00482768005358587 0.00723485513428921 NA NA
"1926" NA NA 0.00485125896756772 0.0072200807512888 NA NA
"1927" NA NA 0.00502855764951962 0.00729867325993502 NA NA
"1928" NA NA 0.00534605995421814 0.00746261666141816 NA NA
"1929" NA NA 0.0057902497364398 0.00770389495692854 NA NA
"1930" NA NA 0.0063476108509612 0.0080144921476565 NA NA
"1931" NA NA 0.0070046271525589 0.00838639223479236 NA NA
"1932" NA NA 0.00774778249600946 0.00881157921952645 NA NA
"1933" 0.30123 0.32574 0.00856356073608943 0.00928203710304907 NA NA
"1934" 0.30783 0.33004 0.00943844572757539 0.00978974988655055 NA NA
"1935" 0.31451 0.33205 0.0103589213252439 0.0103267015712212 NA NA
"1936" 0.34327 0.36127 0.0113114713838715 0.0108848761582514 NA NA
"1937" 0.32494 0.34668 0.0122825797582348 0.0114562576488315 NA NA
"1938" 0.30506 0.32675 0.0132587303031103 0.0120328300441517 NA NA
"1939" 0.32306 0.33752 0.0142264068732746 0.0126065773454023 NA NA
"1940" 0.33555 0.35576 0.0151720933235043 0.0131694835537738 NA NA
"1941" 0.31401 0.34231 0.0160822735085759 0.0137135326704564 NA NA
"1942" 0.30582 0.32929 0.016943431283266 0.0142307086966405 NA NA
"1943" 0.33216 0.35638 0.0177420505023511 0.0147129956335164 NA NA
"1944" 0.30779 0.33118 0.0184646150206079 0.0151523774822743 NA NA
"1945" 0.30164 0.32858 0.0190976086928128 0.0155408382441047 NA NA
"1946" 0.30575 0.33397 0.0196275153737425 0.0158703619201978 NA NA
"1947" 0.31409 0.34302 0.0200408189181734 0.016132932511744 NA NA
"1948" 0.3165 0.34374 0.0203240031808822 0.0163205340199336 NA NA
"1949" 0.31152 0.33287 0.0204635520166455 0.0164251504459569 NA NA
"1950" 0.31228 0.33807 0.0204459492802397 0.0164387657910043 NA NA
"1951" 0.313 0.34236 0.0202576788264415 0.0163533640562660 NA NA
"1952" 0.31094 0.32755 0.0198852245100274 0.0161609292429324 NA NA
"1953" 0.31064 0.33535 0.019315070185774 0.0158534453521939 NA NA
"1954" 0.29856 0.32156 0.0185336997084578 0.0154228963852407 NA NA
"1955" 0.31186 0.33442 0.0175275969328555 0.0148612663432631 0 0
"1956" 0.30988 0.33217 0.0162832457137435 0.0141605392274515 0 0
"1957" 0.3198 0.34662 0.0147871299058984 0.0133126990389963 0 0
