"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA 0 0 0 0
"1925" NA NA 0 0 0 0
"1926" NA NA 0 0 0 0
"1927" NA NA 0 0 0 0
"1928" NA NA 0 0 0 0
"1929" NA NA 0 0 0 0
"1930" NA NA 0 0 0 0
"1931" NA NA 0 0 0 0
"1932" NA NA 0 0 0 0
"1933" 0.05224 0.06515 0 0 0 0
"1934" 0.05701 0.0717 0 0 0 0
"1935" 0.05173 0.06614 0 0 0 0
"1936" 0.05286 0.06653 0 0 0 0
"1937" 0.05147 0.06468 0 0 0 0
"1938" 0.04889 0.06175 0 0 0 0
"1939" 0.0451 0.05697 0 0 0 0
"1940" 0.04498 0.05742 0 0 0 0
"1941" 0.04431 0.0557 0 0 0 0
"1942" 0.04042 0.05085 0 0 0 0
"1943" 0.03908 0.04962 0 0 0 0
"1944" 0.0372 0.04651 0 0 0 0
"1945" 0.03596 0.0457 0 0 0 0
"1946" 0.03482 0.04473 0 0 0 0
"1947" 0.03218 0.04135 0 0 0 0
"1948" 0.02951 0.03793 0 0 0 0
"1949" 0.02975 0.03831 0 0 0 0
"1950" 0.02744 0.03554 0 0 0 0
"1951" 0.02727 0.03552 0 0 0 0
"1952" 0.02712 0.03496 0 0 0 0
"1953" 0.02589 0.03363 0 0 0 0
"1954" 0.02475 0.03207 0 0 0 0
"1955" 0.02412 0.03123 0 0 0 0
"1956" 0.02359 0.03082 0 0 0 0
"1957" 0.02387 0.03087 0 0 0 0
"1958" 0.02391 0.03066 0 0 0 0
"1959" 0.02326 0.03012 0 0 0 0
"1960" 0.02267 0.02969 0 0 0 0
"1961" 0.02207 0.02874 0 0 0 0
"1962" 0.02169 0.02848 0 0 0 0
"1963" 0.02167 0.02841 0 0 0 0
"1964" 0.02159 0.02794 0 0 0 0
"1965" 0.02092 0.02715 0 0 0 0
"1966" 0.02025 0.02625 0 0 0 0
"1967" 0.01944 0.02515 0 0 0 0
"1968" 0.01899 0.02476 0 0 0 0
"1969" 0.01861 0.02415 0 0 0 0
"1970" 0.0182 0.02335 0 0 0 0
"1971" 0.01658 0.02136 0 0 0 0
"1972" 0.01538 0.01995 0 0 0 0
"1973" 0.01506 0.01943 0 0 0 0
"1974" 0.01461 0.01873 0 0 0 0
"1975" 0.01404 0.01771 0 0 0 0
"1976" 0.01336 0.01658 0 0 0 0
"1977" 0.01251 0.01589 0 0 0 0
"1978" 0.01203 0.01503 0 0 0 0
"1979" 0.0116 0.01457 0 0 0 0
"1980" 0.01127 0.01404 0 0 0 0
"1981" 0.0106 0.01309 0 0 0 0
"1982" 0.01022 0.01279 0 0 0 0
"1983" 0.00987 0.01222 0 0 0 0
"1984" 0.00967 0.01195 0 0 0 0
"1985" 0.00946 0.0121 0 0 0 0
"1986" 0.00916 0.01162 0 0 0 0
"1987" 0.00909 0.01137 0 0 0 0
"1988" 0.0091 0.01129 0 0 0 0
"1989" 0.00908 0.01118 0 0 0 0
"1990" 0.00843 0.01064 0 0 0 0
"1991" 0.00799 0.01017 0 0 0 0
"1992" 0.00774 0.00956 0 0 0 0
"1993" 0.00756 0.0094 0 0 0 0
"1994" 0.00736 0.00897 0 0 0 0
"1995" 0.00696 0.00849 0 0 0 0
"1996" 0.00678 0.00823 0 0 0 0
"1997" 0.00666 0.00816 0 0 0 0
"1998" 0.00681 0.00812 0 0 0 0
"1999" 0.00659 0.00798 0 0 0 0
"2000" 0.00642 0.00781 0 0 0 0
"2001" 0.00614 0.0075 0 0 0 0
"2002" 0.00626 0.00762 0 0 0 0
"2003" 0.00611 0.00764 0 0 0 0
"2004" 0.00609 0.00747 0 0 0 0
"2005" 0.00615 0.00757 0 0 0 0
