"mallcauses" "fallcauses" "mbmi" "fbmi" "msmoking" "fsmoking"
"1924" NA NA 0.00985660477990884 0.0148744921915465 NA NA
"1925" NA NA 0.00944704527383264 0.0145371454435328 NA NA
"1926" NA NA 0.00920542527342218 0.0143406330119766 NA NA
"1927" NA NA 0.00911943294603517 0.0142746923078557 NA NA
"1928" NA NA 0.00917675645902933 0.0143290607421481 NA NA
"1929" NA NA 0.0093650839797624 0.0144934757258316 NA NA
"1930" NA NA 0.0096721036755921 0.0147576746698842 NA NA
"1931" NA NA 0.0100855037138761 0.0151113949852838 NA NA
"1932" NA NA 0.0105929722619723 0.0155443740830082 NA NA
"1933" 0.23877 0.2423 0.0111821974872382 0.0160463493740355 NA NA
"1934" 0.24683 0.25709 0.0118408675570316 0.0166070582693434 NA NA
"1935" 0.24223 0.25121 0.0125566706387103 0.0172162381799099 NA NA
"1936" 0.26165 0.27671 0.0133172948996319 0.0178636265167129 NA NA
"1937" 0.24148 0.26451 0.0141104285071543 0.0185389606907304 NA NA
"1938" 0.22568 0.23865 0.0149237596286351 0.0192319781129402 NA NA
"1939" 0.241 0.2469 0.0157449764314320 0.0199324161943201 NA NA
"1940" 0.25217 0.27482 0.0165617670829028 0.0206300123458483 NA NA
"1941" 0.23482 0.25388 0.0173618197504051 0.0213145039785025 NA NA
"1942" 0.22384 0.24727 0.0181328226012968 0.0219756285032606 NA NA
"1943" 0.2565 0.27271 0.0188624638029355 0.0226031233311006 NA NA
"1944" 0.23719 0.256 0.019538431522679 0.0231867258730003 NA NA
"1945" 0.23311 0.24577 0.020148413927885 0.0237161735399377 NA NA
"1946" 0.2199 0.25229 0.0206800991859112 0.0241812037428907 NA NA
"1947" 0.23074 0.24601 0.0211211754641153 0.0245715538928372 NA NA
"1948" 0.23075 0.24944 0.0214593309298551 0.024876961400755 NA NA
"1949" 0.23267 0.2568 0.0216822537504882 0.0250871636776222 NA NA
"1950" 0.24471 0.27545 0.0217776320933725 0.0251918981344166 NA NA
"1951" 0.23042 0.26765 0.0217331541258656 0.0251809021821161 NA NA
"1952" 0.22565 0.2449 0.0215365080153252 0.0250439132316985 NA NA
"1953" 0.239 0.27433 0.0211753819291092 0.024770668694142 NA NA
"1954" 0.22665 0.25825 0.0206374640345751 0.0243509059804242 NA NA
"1955" 0.2338 0.25823 0.0199104424990808 0.0237743625015233 0.022059095978795 0.0039780214300707
"1956" 0.22784 0.26328 0.0189820054899839 0.0230307756684169 0.0218976074199156 0.00381653287119132
"1957" 0.23347 0.26025 0.0178398411746422 0.0221098828920831 0.0217361188610362 0.00365504431231189
"1958" 0.23554 0.26429 0.0164716377204134 0.0210014215834998 0.0215746303021568 0.00349355575343246
"1959" 0.23529 0.26422 0.0148650832946552 0.0196951291536448 0.0214131417432774 0.00333206719455309
"1960" 0.24277 0.26949 0.0130078660647253 0.0181807430134961 0.021251653184398 0.00317057863567366
"1961" 0.22972 0.26085 0.0108876741979816 0.0164480005740316 0.0210901646255185 0.00300909007679423
"1962" 0.22982 0.26409 0.00881030479115685 0.0147809266391487 0.0209286760666392 0.00284760151791486
"1963" 0.24347 0.27851 0.00709450881850817 0.0134633761425312 0.0207671875077597 0.00268611295903542
"1964" 0.22615 0.26138 0.00574740526367944 0.0124848316898364 0.0206056989488804 0.00252462440015605
"1965" 0.22787 0.2689 0.00477611311031455 0.0118347758867216 0.0204442103900009 0.00236313584127662
"1966" 0.23078 0.26284 0.00418775134205737 0.0115026913388442 0.0202827218311215 0.00220164728239719
"1967" 0.22484 0.25904 0.00398943894255179 0.0114780606518615 0.0201212332722421 0.00204015872351782
"1968" 0.23239 0.26621 0.00418829489544169 0.0117503664314308 0.0199597447133627 0.00187867016463839
"1969" 0.22369 0.26585 0.00479143818437093 0.0123090912832095 0.0197982561544833 0.00171718160575896
"1970" 0.21462 0.24749 0.00580598779298342 0.0131437178128548 0.0196367675956039 0.00155569304687958
"1971" 0.22322 0.2581 0.00723906270492302 0.0142437286260242 0.0194752790367245 0.00139420448800015
"1972" 0.20912 0.24868 0.00909778190383363 0.0155986063283749 0.0193137904778450 0.00123271592912072
"1973" 0.21965 0.2685 0.0113892643733591 0.0171978335255644 0.0191523019189657 0.00107122737024135
"1974" 0.21075 0.24721 0.0141680902423245 0.0190171283864035 0.0189908133600862 0.000909738811361915
"1975" 0.19972 0.23817 0.0174080044163198 0.0211040484588005 0.0188293248012069 0.000748250252482541
"1976" 0.20282 0.24482 0.0209948730441366 0.0235558354170583 0.0186678362423274 0.00058676169360311
"1977" 0.19199 0.23643 0.0248145622745665 0.0264697309354797 0.018506347683448 0.000425273134723680
"1978" 0.19487 0.24055 0.0287529382564009 0.0299429766883677 0.0183448591245686 0.000263784575844306
